"ID","Species","City","AST.based.group","flia","espx6","tssc","tssf","senb","ybtt","ybtq","ybtu","ybts","irp2","cyca","papc","sila","ompr","espx5","irp1","hlya","merr","vipbtssc","rhspaar","ARO.3000167","ARO.3002847","fliq","flha","flii","mrkb","enta","fepa","ARO.3004122","ARO.3000174","ARO.3003209","oqxa6","oqxa10","ARO.3005010","Collection_date","included"
"S134","Klebsiella pneumoniae","mysterious","Non-CP CRE",0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,"0"
"S135","Klebsiella pneumoniae","mysterious","Non-CP CRE",0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,"0"
"S136","Klebsiella pneumoniae","mysterious","Non-CP CRE",0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,"0"
"S137","Klebsiella pneumoniae","mysterious","Non-CP CRE",0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,"0"
"S138","Klebsiella pneumoniae","mysterious","Non-CP CRE",0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,"0"
"S139","Klebsiella pneumoniae","mysterious","Non-CP CRE",0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,"0"
"S140","Klebsiella pneumoniae","mysterious","Non-CP CRE",0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,"0"
"S141","Klebsiella pneumoniae","mysterious","Non-CP CRE",0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,"0"
"S142","Klebsiella pneumoniae","mysterious","Non-CP CRE",0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,"0"
"S143","Klebsiella pneumoniae","mysterious","Non-CP CRE",0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,"0"
"S144","Klebsiella pneumoniae","mysterious","Non-CP CRE",0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,"0"
"S145","Klebsiella pneumoniae","mysterious","Non-CP CRE",0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,"0"
"S146","Klebsiella pneumoniae","mysterious","Non-CP CRE",0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,"0"
"NYC_2016_GCF_002214205.1","Escherichia coli","NYC","0",1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,2016,"yes"
"MIN_2017_GCF_013423565.1","Escherichia coli","MIN","0",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,2017,"yes"
"MIN_2017_GCF_013423645.1","Escherichia coli","MIN","0",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,2017,"yes"
"NYC_2018_GCF_022569415.1","Escherichia coli","NYC","0",1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,2018,"yes"
"NYC_2018_GCF_022812305.1","Escherichia coli","NYC","0",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,2018,"yes"
"NYC_2018_GCF_022812315.1","Escherichia coli","NYC","0",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,2018,"yes"
"NYC_2015_GCF_027584315.1","Escherichia coli","NYC","0",1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,2015,"yes"
"NYC_2015_GCF_027584335.1","Escherichia coli","NYC","0",1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,2015,"yes"
"NYC_2016_GCF_020783935.1","Enterobacter hormaechei","NYC","0",1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,2016,"yes"
"NYC_2015_GCF_029069505.1","Enterobacter hormaechei","NYC","0",1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2015,"yes"
"NYC_2015_GCF_029069575.1","Enterobacter hormaechei","NYC","0",1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,2015,"yes"
"NYC_2015_GCF_029069675.1","Enterobacter hormaechei","NYC","0",1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,2015,"yes"
"NYC_2016_GCF_029069745.1","Enterobacter hormaechei","NYC","0",1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,2016,"yes"
"NYC_2015_GCF_029069825.1","Enterobacter hormaechei","NYC","0",1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,2015,"yes"
"NYC_2015_GCF_029070195.1","Enterobacter hormaechei","NYC","0",1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,2015,"yes"
"NYC_2015_GCF_029075245.1","Enterobacter hormaechei","NYC","0",1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,2015,"yes"
"NYC_2016_GCF_002833425.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,2016,"yes"
"NYC_2016_GCF_002833445.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,2016,"yes"
"NYC_2016_GCF_002833465.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,2016,"yes"
"NYC_2017_GCF_002855815.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,2017,"yes"
"NYC_2017_GCF_002855825.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,2017,"yes"
"NYC_2017_GCF_002855915.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,2017,"yes"
"NYC_2017_GCF_002855955.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,2017,"yes"
"NYC_2017_GCF_002855985.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,2017,"yes"
"NYC_2017_GCF_002856015.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,2017,"yes"
"NYC_2017_GCF_002856025.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,2017,"yes"
"NYC_2017_GCF_002856075.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,2017,"yes"
"NYC_2017_GCF_002856155.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,2017,"yes"
"NYC_2017_GCF_002856185.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,2017,"yes"
"NYC_2016_GCF_002856235.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,2016,"yes"
"NYC_2017_GCF_002856315.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,2017,"yes"
"NYC_2017_GCF_002856325.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,2017,"yes"
"NYC_2017_GCF_002856385.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,2017,"yes"
"NYC_2017_GCF_002856395.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,2017,"yes"
"NYC_2017_GCF_002856415.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,2017,"yes"
"NYC_2017_GCF_002856455.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,2017,"yes"
"NYC_2017_GCF_002856535.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,2017,"yes"
"NYC_2017_GCF_002856565.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,2017,"yes"
"NYC_2017_GCF_002856575.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,2017,"yes"
"NYC_2017_GCF_002856615.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,0,2017,"yes"
"NYC_2017_GCF_002856635.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,2017,"yes"
"NYC_2017_GCF_002856675.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,2017,"yes"
"NYC_2016_GCF_002856705.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,2016,"yes"
"NYC_2016_GCF_002856765.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,2016,"yes"
"NYC_2017_GCF_002856885.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,2017,"yes"
"NYC_2017_GCF_002856905.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,2017,"yes"
"NYC_2017_GCF_002856915.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,2017,"yes"
"NYC_2017_GCF_002856945.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,2017,"yes"
"NYC_2017_GCF_002856995.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,2017,"yes"
"NYC_2017_GCF_002857005.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,2017,"yes"
"NYC_2017_GCF_002857035.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,2017,"yes"
"NYC_2017_GCF_002857065.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,2017,"yes"
"NYC_2017_GCF_002857085.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,2017,"yes"
"NYC_2017_GCF_002857115.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,2017,"yes"
"NYC_2017_GCF_002857125.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,2017,"yes"
"NYC_2017_GCF_002857135.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,2017,"yes"
"NYC_2017_GCF_002857205.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,2017,"yes"
"NYC_2017_GCF_002857235.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,2017,"yes"
"NYC_2017_GCF_002857315.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,2017,"yes"
"NYC_2016_GCF_002857345.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,2016,"yes"
"BAL_2015_GCF_003334885.1","Klebsiella pneumoniae","BAL","0",0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,2015,"yes"
"BAL_2015_GCF_003334895.1","Klebsiella pneumoniae","BAL","0",0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,2015,"yes"
"BAL_2015_GCF_003334925.1","Klebsiella pneumoniae","BAL","0",0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,2015,"yes"
"BAL_2015_GCF_003334945.1","Klebsiella pneumoniae","BAL","0",0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,2015,"yes"
"BAL_2015_GCF_003334955.1","Klebsiella pneumoniae","BAL","0",0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,2015,"yes"
"BAL_2015_GCF_003334965.1","Klebsiella pneumoniae","BAL","0",0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,2015,"yes"
"BAL_2015_GCF_003335005.1","Klebsiella pneumoniae","BAL","0",0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,2015,"yes"
"BAL_2015_GCF_003335025.1","Klebsiella pneumoniae","BAL","0",0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,2015,"yes"
"BAL_2015_GCF_003335065.1","Klebsiella pneumoniae","BAL","0",0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,2015,"yes"
"BAL_2015_GCF_003345685.1","Klebsiella pneumoniae","BAL","0",0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,2015,"yes"
"BAL_2015_GCF_003345715.1","Klebsiella pneumoniae","BAL","0",0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,2015,"yes"
"BAL_2015_GCF_003345765.1","Klebsiella pneumoniae","BAL","0",0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,2015,"yes"
"BAL_2017_GCF_003860845.1","Klebsiella pneumoniae","BAL","0",0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,2017,"yes"
"BAL_2017_GCF_003860885.1","Klebsiella pneumoniae","BAL","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,2017,"yes"
"BAL_2017_GCF_003860895.1","Klebsiella pneumoniae","BAL","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,2017,"yes"
"BAL_2017_GCF_003860985.1","Klebsiella pneumoniae","BAL","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,2017,"yes"
"BAL_2017_GCF_003860995.1","Klebsiella pneumoniae","BAL","0",0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,2017,"yes"
"BAL_2017_GCF_003861035.1","Klebsiella pneumoniae","BAL","0",0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,2017,"yes"
"BAL_2017_GCF_003861085.1","Klebsiella pneumoniae","BAL","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,2017,"yes"
"BAL_2017_GCF_003861135.1","Klebsiella pneumoniae","BAL","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,2017,"yes"
"BAL_2017_GCF_003861365.1","Klebsiella pneumoniae","BAL","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,2017,"yes"
"BAL_2017_GCF_003861425.1","Klebsiella pneumoniae","BAL","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,2017,"yes"
"BAL_2017_GCF_003861435.1","Klebsiella pneumoniae","BAL","0",0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,2017,"yes"
"BAL_2017_GCF_003861475.1","Klebsiella pneumoniae","BAL","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,2017,"yes"
"BAL_2017_GCF_003861575.1","Klebsiella pneumoniae","BAL","0",0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,2017,"yes"
"SAN_2018_GCF_019927725.1","Klebsiella pneumoniae","SAN","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,2018,"yes"
"SAN_2018_GCF_019927885.1","Klebsiella pneumoniae","SAN","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,2018,"yes"
"SAN_2017_GCF_019927925.1","Klebsiella pneumoniae","SAN","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,2017,"yes"
"SAN_2016_GCF_019928325.1","Klebsiella pneumoniae","SAN","0",0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,2016,"yes"
"NYC_2015_GCF_027584255.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,2015,"yes"
"NYC_2015_GCF_027584275.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,2015,"yes"
"NYC_2015_GCF_027584375.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,2015,"yes"
"NYC_2015_GCF_027584385.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,2015,"yes"
"NYC_2015_GCF_027584415.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,2015,"yes"
"NYC_2015_GCF_027584435.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,2015,"yes"
"NYC_2015_GCF_027584455.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,2015,"yes"
"NYC_2015_GCF_027584485.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,2015,"yes"
"NYC_2015_GCF_027584495.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,2015,"yes"
"NYC_2015_GCF_027584535.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,2015,"yes"
"NYC_2015_GCF_027584585.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,2015,"yes"
"NYC_2015_GCF_027584695.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,2015,"yes"
"NYC_2015_GCF_027585065.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,2015,"yes"
"NYC_2015_GCF_027585115.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,2015,"yes"
"NYC_2015_GCF_027585155.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,2015,"yes"
"NYC_2015_GCF_027585165.1","Klebsiella pneumoniae","NYC","0",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,2015,"yes"
"BAL_En","Enterobacter hormaechei","BAL","0",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,"0"
"BAL_Es","Escherichia coli","BAL","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"BAL_Kl","Klebsiella pneumoniae","BAL","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,"0"
"DEN_En","Enterobacter hormaechei","DEN","0",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"DEN_Es","Escherichia coli","DEN","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"0"
"DEN_Kl","Klebsiella pneumoniae","DEN","0",0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,12,0,1,0,0,0,0,"0"
